"","ID","HomeCountry","relationship","guidance","social","collaboration","funding","benefits","publications","teaching","careersupport","Academia","DeltaA","PrepR","PrepNR","Age","Gender","Caucasian","Latino/Hispanic","Middle Eastern","African","South Asian","East Asian","OtherEth","Africa","Aisa (including Middle East)","Australasia","Europe","North or Central America","South America","PhDReason","HoursWorked","HoursMeeting","Anxiety","Bullying","Discrimination","Caring"
"3367",3367,0,5,5,6,5,6,5,4,4,5,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"3372",3372,0,5,6,3,6,2,4,5,3,6,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"3373",3373,0,4,3,5,4,6,3,1,3,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"3375",3375,0,4,0,1,5,1,1,3,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
"3377",3377,0,5,3,0,3,3,0,1,2,2,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0
"3379",3379,0,4,4,3,4,2,5,3,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"3380",3380,0,5,3,5,5,6,5,5,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"3381",3381,0,0,0,3,3,1,1,NA,NA,3,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"3382",3382,0,2,2,3,3,5,3,1,2,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3384",3384,0,0,1,3,1,6,2,0,1,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
"3385",3385,0,3,5,4,1,3,3,NA,NA,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"3388",3388,0,5,5,5,6,6,3,6,4,6,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"3389",3389,0,1,0,3,2,5,4,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
"3391",3391,0,0,0,3,0,0,3,0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0
"3392",3392,0,6,3,5,5,3,1,3,6,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
"3397",3397,0,6,6,4,6,6,6,6,6,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"3398",3398,0,6,4,6,4,4,3,5,4,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
"3404",3404,0,5,2,5,6,6,6,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"3406",3406,0,6,5,5,6,6,6,6,5,6,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1
"3407",3407,0,5,5,3,3,2,5,2,5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
"3408",3408,0,5,5,4,4,5,0,5,2,4,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0
"3410",3410,0,6,6,5,3,0,1,4,2,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"3413",3413,0,1,0,4,1,0,4,4,6,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
"3418",3418,0,4,2,4,2,2,4,2,4,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1
"3420",3420,0,0,0,4,3,4,5,0,NA,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"3424",3424,0,4,3,6,5,3,3,3,3,3,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"3427",3427,0,5,4,3,2,6,6,4,6,3,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"3431",3431,0,5,4,4,3,5,3,3,3,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
"3432",3432,0,5,5,5,6,3,3,5,3,4,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"3434",3434,0,3,1,3,6,1,4,5,4,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0
"3435",3435,0,6,5,1,0,0,4,2,3,2,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"3437",3437,0,5,1,4,3,3,0,2,4,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
"3441",3441,0,4,4,3,4,1,3,4,2,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0
"3446",3446,0,4,3,2,6,6,0,3,NA,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"3447",3447,0,6,5,6,6,6,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"3451",3451,0,6,6,6,3,6,4,3,3,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
"3452",3452,0,6,6,6,6,6,6,6,6,6,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"3455",3455,0,5,5,4,5,6,3,5,NA,5,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"3457",3457,0,6,6,6,6,4,5,NA,6,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"3458",3458,0,5,6,4,5,6,6,4,6,6,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"3459",3459,0,5,6,6,6,3,3,4,5,6,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1
"3460",3460,0,5,2,5,4,6,4,0,5,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"3462",3462,0,3,4,1,5,3,0,5,3,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"3464",3464,0,6,5,5,6,2,4,3,3,6,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3465",3465,0,0,6,0,3,4,3,0,3,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"3466",3466,0,6,5,3,6,2,6,5,NA,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"3467",3467,0,6,6,6,2,5,0,2,3,3,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"3473",3473,0,5,4,4,4,4,3,3,NA,3,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
"3476",3476,0,5,2,0,5,5,4,1,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
"3477",3477,0,6,2,1,2,1,5,5,2,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0
"3480",3480,0,1,0,0,1,0,2,1,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
"3481",3481,0,6,6,4,4,5,4,5,5,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
"3483",3483,0,6,6,2,4,4,6,NA,NA,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"3484",3484,0,4,4,3,NA,5,5,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"3485",3485,0,6,2,5,2,2,3,2,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"3487",3487,0,3,3,2,4,5,4,3,1,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
"3488",3488,0,5,5,4,1,4,6,1,6,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0
"3489",3489,0,2,5,3,2,1,4,2,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0
"3490",3490,0,6,4,6,5,5,4,3,4,5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"3492",3492,0,0,3,0,4,4,4,5,6,3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"3494",3494,0,3,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"3495",3495,0,5,5,5,5,5,5,5,6,5,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
"3496",3496,0,3,1,4,4,5,3,1,3,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"3502",3502,0,6,0,3,6,6,6,2,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0
"3503",3503,0,2,NA,1,0,1,0,0,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"3506",3506,0,0,3,6,0,6,NA,0,NA,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0
"3507",3507,0,1,2,3,3,3,2,3,3,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0
"3508",3508,0,2,5,6,1,4,1,0,0,4,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"3509",3509,0,2,3,3,6,4,0,5,3,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
"3510",3510,0,5,5,6,5,5,6,4,5,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0
"3512",3512,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0
"3513",3513,0,3,1,2,2,5,1,4,4,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
"3518",3518,0,0,0,0,3,5,3,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"3519",3519,0,4,5,3,1,5,3,3,3,4,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"3521",3521,0,4,3,1,2,3,2,5,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1
"3527",3527,0,6,1,5,4,2,3,0,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
"3531",3531,0,5,5,5,5,5,5,4,5,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1
"3532",3532,0,6,6,5,4,4,2,0,3,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
"3535",3535,0,1,0,0,0,3,5,3,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
"3537",3537,0,6,1,3,6,6,4,5,4,5,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0
"3539",3539,0,3,0,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0
"3541",3541,0,5,6,6,6,4,6,5,5,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3547",3547,0,5,3,3,4,5,2,2,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
"3548",3548,0,5,5,5,2,6,5,5,5,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"3550",3550,0,6,6,0,6,6,6,0,0,6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
"3551",3551,0,3,3,1,2,0,2,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
"3555",3555,0,0,1,0,6,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
"3557",3557,0,4,3,2,4,1,NA,5,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0
"3558",3558,0,6,5,2,4,3,2,2,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"3564",3564,0,6,6,5,4,6,5,5,3,6,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
"3565",3565,0,5,4,5,5,NA,5,0,NA,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"3566",3566,0,3,3,3,2,2,4,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"3570",3570,0,4,2,3,5,3,4,4,0,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
"3573",3573,0,4,5,3,3,4,4,0,4,4,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1
"3575",3575,0,6,5,1,4,6,6,4,6,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"3579",3579,0,6,0,3,3,2,4,2,3,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"3582",3582,0,6,6,5,6,6,6,4,6,5,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"3584",3584,0,5,1,0,3,5,0,0,3,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"3598",3598,0,1,1,3,0,5,2,3,NA,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0
"3601",3601,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
"3603",3603,0,6,6,3,4,2,0,1,6,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"3604",3604,0,0,0,2,0,3,3,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
"3608",3608,0,6,5,3,5,4,3,3,4,4,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
"3611",3611,0,0,2,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
"3612",3612,0,6,4,2,2,6,6,3,NA,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
"3613",3613,0,1,1,2,3,1,3,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
"3614",3614,0,6,2,4,3,6,4,5,3,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0
"3615",3615,0,6,0,0,6,0,0,0,3,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
"3618",3618,0,1,3,1,2,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0
"3621",3621,0,6,5,6,6,3,3,1,2,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"3622",3622,0,5,5,5,3,3,3,5,NA,NA,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0
"3623",3623,0,3,2,3,4,4,2,1,3,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0
"3624",3624,0,5,4,3,4,3,6,5,5,5,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
"3625",3625,0,4,2,4,2,6,4,4,5,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3627",3627,0,0,0,5,3,4,6,0,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
"3628",3628,0,2,2,3,4,6,5,6,6,4,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"3632",3632,0,6,5,5,4,NA,4,0,4,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"3634",3634,0,6,6,5,5,5,5,5,5,6,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3639",3639,0,2,1,0,3,5,5,5,NA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
"3640",3640,0,3,3,4,3,5,4,3,3,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
"3643",3643,0,4,5,3,4,4,3,5,4,5,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
"3645",3645,0,5,3,0,4,1,1,1,3,4,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0
"3648",3648,0,6,5,3,3,4,4,3,3,3,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
"3651",3651,0,6,6,4,5,5,3,5,4,5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"3652",3652,0,6,5,4,5,5,3,NA,5,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"3653",3653,0,0,3,3,2,5,3,1,NA,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"3657",3657,0,5,4,5,5,5,4,4,5,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
"3658",3658,0,3,2,4,4,5,3,5,1,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"3661",3661,0,4,4,2,4,5,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
"3664",3664,0,2,0,6,3,5,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
"3665",3665,0,5,3,5,6,5,6,2,6,5,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"3666",3666,0,3,3,3,3,3,3,3,3,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"3667",3667,0,6,6,4,6,6,5,5,NA,6,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"3670",3670,0,5,6,5,6,6,6,5,5,6,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"3671",3671,0,3,3,3,2,6,4,NA,4,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"3672",3672,0,4,3,5,5,4,3,2,3,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1
"3673",3673,0,3,4,0,2,4,1,0,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"3677",3677,0,6,5,3,4,4,5,1,3,2,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
"3679",3679,0,6,5,6,6,2,4,6,4,5,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"3682",3682,0,5,5,0,0,0,0,4,4,6,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
"3683",3683,0,5,1,1,6,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0
"3689",3689,0,6,6,6,5,1,5,5,4,5,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
"3690",3690,0,3,3,3,0,4,4,0,3,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
"3692",3692,0,NA,6,4,NA,0,0,5,6,5,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"3694",3694,0,5,4,2,4,4,1,0,4,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1
"3696",3696,0,6,6,4,5,4,1,4,3,3,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
"3697",3697,0,5,5,1,5,6,4,5,4,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3699",3699,0,5,4,2,3,5,5,4,3,4,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0
"3701",3701,0,1,1,2,0,3,4,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"3704",3704,0,5,5,3,4,0,0,3,NA,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1
"3707",3707,0,5,2,3,0,5,5,2,NA,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
"3708",3708,0,6,5,6,4,4,6,3,4,5,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"3710",3710,0,4,5,2,6,6,2,1,2,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0
"3712",3712,0,0,1,5,2,4,3,2,4,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"3713",3713,0,2,0,6,1,4,4,0,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
"3715",3715,0,5,5,4,6,6,4,5,4,6,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
"3718",3718,0,5,4,5,5,1,5,4,NA,4,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"3719",3719,0,6,5,3,4,4,2,3,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0
"3720",3720,0,2,5,3,4,0,2,5,2,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1
"3722",3722,0,4,4,3,4,5,4,2,4,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"3723",3723,0,5,5,5,4,5,5,4,4,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"3724",3724,0,2,2,2,4,5,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1
"3732",3732,0,0,1,0,1,3,4,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"3735",3735,0,5,4,5,5,5,5,4,3,3,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1
"3737",3737,0,5,3,2,4,3,NA,5,NA,5,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"3740",3740,0,4,5,4,3,5,2,5,6,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"3742",3742,0,2,1,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1
"3744",3744,0,4,4,5,4,6,6,0,4,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
"3750",3750,0,1,0,5,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
"3752",3752,0,NA,4,1,NA,0,6,3,NA,3,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"3754",3754,0,4,3,3,3,3,3,4,4,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1
"3756",3756,0,1,1,4,6,5,1,6,1,4,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"3769",3769,0,4,3,1,5,4,2,6,3,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
"3771",3771,0,2,2,2,3,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
